Name,Transimission_Type,Engine_Size,Usage_Origin,Year,Price
Landrover discovery V,Automatic,3000.0,Foreign Used,2018,8320000.0
Landrover Discovery V,Automatic,3000.0,Foreign Used,2017,7900000.0
Volvo V60,Automatic,2000.0,Foreign Used,2017,2349999.0
Nissan Bluebird,Automatic,1800.0,Kenyan Used,2011,679999.0
Toyota Fielder,Automatic,1500.0,Kenyan Used,2016,1699999.0
Peugeot  3008,Automatic,1600.0,Foreign Used,2017,3849999.0
Honda Fit,Automatic,1300.0,Kenyan Used,2013,849999.0
Subaru Levorg,Automatic,1600.0,Kenyan Used,2014,1499999.0
Toyota Rav4,Manual,2000.0,Kenyan Used,2002,749999.0
Nissan Tiida,Automatic,1500.0,Kenyan Used,2010,749999.0
Audi SQ5,Automatic,3000.0,Foreign Used,2018,7299999.0
Range Rover Evoque,Automatic,2000.0,Foreign Used,2017,4964568.0
Audi Q3,Automatic,2000.0,Foreign Used,2017,3399999.0
Toyota Prado TXL,Automatic,2800.0,Foreign Used,2017,6890000.0
Toyota Prado TXL,Automatic,2800.0,Foreign Used,2017,6600000.0
Lexus LX 570,Automatic,5700.0,Foreign Used,2018,13690000.0
Volkswagen Golf GTI,Automatic,2000.0,Foreign Used,2017,3530000.0
Volkswagen Arteon,Automatic,2000.0,Foreign Used,2018,4470000.0
Mitsubishi Outlander,Automatic,2000.0,Foreign Used,2017,3738000.0
Audi Q8,Automatic,3000.0,Foreign Used,2019,11271397.0
Landrover Discovery V,Automatic,3000.0,Foreign Used,2017,8110000.0
Range Rover Evoque,Automatic,2000.0,Foreign Used,2018,6052767.0
Toyota Landcruiser ZX,Automatic,4600.0,Foreign Used,2017,10190000.0
Mercedes Benz GLE 400d,Automatic,2900.0,Foreign Used,2021,14956186.0
Mercedes Benz GLE 400d,Automatic,2900.0,Foreign Used,2020,13521821.0
Audi RS7,Automatic,4000.0,Foreign Used,2017,10384000.0
Mercedes Benz GLE 400d,Automatic,2900.0,Foreign Used,2020,14178821.0
Daihatsu Mira,Automatic,660.0,Kenyan Used,2012,529999.0
Range Rover Evoque,Automatic,2000.0,Foreign Used,2017,5209571.0
Audi Q7,Automatic,3000.0,Foreign Used,2017,6800000.0
Subaru Outback,Automatic,2500.0,Foreign Used,2018,4190000.0
Mercedes Benz GLC 250,Automatic,2000.0,Foreign Used,2018,6430000.0
Nissan Xtrail,Automatic,2000.0,Kenyan Used,2012,1399999.0
Nissan Note,Automatic,1200.0,Kenyan Used,2013,699999.0
Toyota Hilux,Manual,3000.0,Kenyan Used,2007,1699999.0
Audi Q5,Automatic,2000.0,Foreign Used,2017,3979999.0
Peugeot 3008,Automatic,1600.0,Foreign Used,2017,3385793.0
Peugeot 308,Automatic,1200.0,Foreign Used,2017,2330000.0
Audi Q5,Automatic,2000.0,Foreign Used,2018,4699000.0
Toyota Prado TZG,Automatic,2800.0,Foreign Used,2017,8330000.0
Range Rover Sport,Automatic,3000.0,Foreign Used,2020,13449000.0
Toyota Landcruiser 300 series,Automatic,3300.0,Foreign Used,2023,22000000.0
Lexus LX600,Automatic,3500.0,Foreign Used,2023,30499999.0
Toyota Alphard,Automatic,2400.0,Kenyan Used,2008,1349999.0
Mazda CX5,Automatic,2000.0,Kenyan Used,2016,2299999.0
Toyota Landcruiser Prado,Automatic,3000.0,Kenyan Used,2007,2999999.0
Volkswagen Golf TSI,Automatic,1400.0,Kenyan Used,2015,1549999.0
Jaguar F pace,Automatic,5000.0,Foreign Used,2021,15900000.0
Volkswagen Golf TSI,Automatic,1400.0,Foreign Used,2017,2549999.0
Toyota Probox,Automatic,1500.0,Kenyan Used,2014,849999.0
Toyota Vellfire,Automatic,2500.0,Foreign Used,2017,3910000.0
Suzuki Swift,Automatic,1500.0,Foreign Used,2017,1449999.0
Audi A3,Automatic,1400.0,Kenyan Used,2009,899999.0
Toyota Probox,Automatic,1500.0,Kenyan Used,2017,1499999.0
Nissan Dayz,Automatic,660.0,Foreign Used,2017,799999.0
Mazda Bongo,Automatic,2000.0,Kenyan Used,2008,649999.0
Subaru Impreza,Automatic,2000.0,Kenyan Used,2016,1999999.0
Subaru XV,Automatic,2000.0,Kenyan Used,2016,1899999.0
Audi A4,Automatic,2000.0,Foreign Used,2017,4946000.0
Range Rover Sport RVR,Automatic,5000.0,Foreign Used,2017,16500000.0
Volvo,Automatic,2000.0,Foreign Used,2017,4946000.0
Audi TT RS,Automatic,2500.0,Foreign Used,2018,9780000.0
Range Rover Sport,Automatic,3000.0,Foreign Used,2017,7890000.0
Mazda Bongo,Automatic,2000.0,Kenyan Used,2008,599999.0
Mazda Axela,Automatic,1500.0,Kenyan Used,2014,1399999.0
Nissan Wingroad,Automatic,1500.0,Kenyan Used,2009,649999.0
Honda Fit Shuttle,Automatic,1500.0,Kenyan Used,2013,1099999.0
Toyota Harrier,Automatic,2000.0,Foreign Used,2017,3810000.0
Range Rover Sport,Automatic,3000.0,Foreign Used,2018,13099999.0
Jeep Grand Cherokee SRT8,Automatic,6400.0,Foreign Used,2017,9371000.0
Audi Q3,Automatic,1400.0,Foreign Used,2017,2995000.0
Nissan GTR,Automatic,3800.0,Foreign Used,2018,18800000.0
BMW X7,Automatic,4400.0,Foreign Used,2020,14772000.0
Porsche 718 Boxster,Automatic,2000.0,Foreign Used,2017,9415050.0
Ferrari California,Automatic,3900.0,Foreign Used,2017,25890000.0
Mercedes Benz GLE 63s,Automatic,5500.0,Foreign Used,2017,12514000.0
Porsche Cayenne GTS,Automatic,4000.0,Foreign Used,2020,18190000.0
Audi A8,Automatic,3000.0,Foreign Used,2017,9381000.0
Toyota FJ Cruiser,Automatic,4000.0,Foreign Used,2017,4949590.0
BMW 320d,Automatic,2000.0,Foreign Used,2017,2890000.0
Lexus RX450h,Automatic,3500.0,Kenyan Used,2009,1999999.0
Toyota Passo,Automatic,1000.0,Foreign Used,2017,1199999.0
Audi SQ5,Automatic,3000.0,Foreign Used,2020,10990000.0
Mazda CX5,Automatic,2500.0,Foreign Used,2019,3999999.0
Mazda CX5,Automatic,2200.0,Kenyan Used,2017,3449999.0
Nissan Note,Automatic,1500.0,Kenyan Used,2011,649999.0
Audi A6,Automatic,2000.0,Kenyan Used,2014,2099999.0
Volkswagen Golf Variant,Automatic,1400.0,Kenyan Used,2015,1479999.0
Mazda Demio,Automatic,1300.0,Foreign Used,2017,1499999.0
Mercedes Benz E280,Automatic,3000.0,Kenyan Used,2008,1349999.0
Mazda Roadster,Automatic,1500.0,Foreign Used,2017,3490000.0
Lexus RX450h,Automatic,3500.0,Foreign Used,2017,5800000.0
Lexus RX300,Automatic,2000.0,Foreign Used,2018,5374000.0
LEXUS LX 570,Automatic,5700.0,Foreign Used,2017,13200000.0
Mazda Atenza,Automatic,2200.0,Foreign Used,2017,2499999.0
Audi Q7,Automatic,3000.0,Foreign Used,2018,7300000.0
Audi Q5,Automatic,2000.0,Foreign Used,2018,4690000.0
Mercedes Benz GLS 400d,Automatic,2900.0,Foreign Used,2020,15300000.0
Lexus LX 570,Automatic,5700.0,Foreign Used,2018,13775000.0
Suzuki Swift RS,Manual,1200.0,Foreign Used,2017,1280000.0
Landrover Discovery V,Automatic,2993.0,Foreign Used,2020,10800000.0
Mercedes Benz GLE 350d,Automatic,3000.0,Foreign Used,2017,8350000.0
Audi RS6,Automatic,4000.0,Foreign Used,2017,14482000.0
Porsche Cayenne GTS,Automatic,3600.0,Foreign Used,2017,9989981.0
Subaru Forester XT,Manual,2000.0,Kenyan Used,2013,1879999.0
Suzuki Wagon R,Automatic,660.0,Kenyan Used,2015,799999.0
Audi Q8,Automatic,3000.0,Foreign Used,2019,14523000.0
Toyota Crown Athlete,Automatic,3500.0,Foreign Used,2017,3980000.0
Toyota Mark X,Automatic,2500.0,Foreign Used,2017,2483000.0
Porsche Cayenne,Automatic,3600.0,Kenyan Used,2017,6799999.0
Toyota Allion,Automatic,1500.0,Kenyan Used,2015,1399999.0
Toyota Alphard,Automatic,2400.0,Kenyan Used,2017,4699999.0
Toyota Hilux,Manual,2500.0,Kenyan Used,2013,2249999.0
Nissan Note,Automatic,1500.0,Kenyan Used,2011,659999.0
Lexus LX600,Automatic,3500.0,Foreign Used,2023,23900000.0
Mercedes Benz GLE 350d,Automatic,3000.0,Foreign Used,2018,8090000.0
Mazda CX5,Automatic,2500.0,Foreign Used,2017,3490500.0
Mercedes Benz GLC 250,Automatic,2140.0,Foreign Used,2018,6210000.0
Toyota Rav4,Automatic,2500.0,Foreign Used,2019,4999000.0
Mercedes Benz AMG C63,Automatic,4000.0,Foreign Used,2017,9799999.0
Mercedes Benz G350d,Automatic,3000.0,Foreign Used,2019,14900000.0
Nissan Xtrail,Automatic,2000.0,Foreign Used,2017,3100000.0
Subaru Outback,Automatic,2500.0,Foreign Used,2017,3800000.0
BMW X7,Automatic,3000.0,Foreign Used,2019,11690000.0
