,Name,Transimission_Type,Engine_Size,Usage_Origin,Year,Price,Make,Model,Car_Age
0,Toyota Harrier,Automatic,2000.0,Foreign Used,2017,3450000.0,Toyota,Harrier,7
1,Audi Sq5,Automatic,3000.0,Foreign Used,2018,6463700.0,Audi,Sq5,6
2,Range Rover Vogue Sv,Automatic,4400.0,Foreign Used,2023,51400000.0,Range Rover,Vogue Sv,1
3,Isuzu Mux,Automatic,3000.0,Foreign Used,2022,8600000.0,Isuzu,Mux,2
4,Mazda Cx5,Automatic,2500.0,Foreign Used,2019,4788209.0,Mazda,Cx5,5
5,Toyota Fortuner,Automatic,2800.0,Foreign Used,2021,8182000.0,Toyota,Fortuner,3
6,Toyota Harrier,Automatic,2000.0,Foreign Used,2017,3999999.0,Toyota,Harrier,7
7,Citroen C4 Cactus,Automatic,1200.0,Foreign Used,2017,1859000.0,Citroen,C4 Cactus,7
8,Porsche Cayenne,Automatic,3000.0,Foreign Used,2019,10900000.0,Porsche,Cayenne,5
9,Volvo V60,Automatic,1600.0,Foreign Used,2017,2449999.0,Volvo,V60,7
10,Toyota Crown,Automatic,2500.0,Kenyan Used,2008,1199999.0,Toyota,Crown,16
11,Subaru Forester,Automatic,2000.0,Kenyan Used,2015,2399999.0,Subaru,Forester,9
12,Lexus Rx450H,Automatic,3500.0,Kenyan Used,2014,3499999.0,Lexus,Rx450H,10
13,Porsche Cayenne,Automatic,3600.0,Kenyan Used,2008,949999.0,Porsche,Cayenne,16
14,Mazda Cx5,Automatic,2200.0,Kenyan Used,2013,1549999.0,Mazda,Cx5,11
15,Toyota Mark X,Automatic,2500.0,Foreign Used,2016,2399999.0,Toyota,Mark X,8
16,Mazda Demio,Automatic,1300.0,Kenyan Used,2016,1249999.0,Mazda,Demio,8
17,Volvo S60,Automatic,2000.0,Kenyan Used,2016,1799999.0,Volvo,S60,8
18,Nissan Xtrail,Automatic,2000.0,Kenyan Used,2015,1799999.0,Nissan,Xtrail,9
19,Mercedes Benz Benz Benz S300H,Automatic,2100.0,Foreign Used,2017,6310000.0,Mercedes Benz,Benz Benz S300H,7
20,Nissan Xtrail,Automatic,2000.0,Kenyan Used,2014,1499999.0,Nissan,Xtrail,10
21,Toyota Premio,Automatic,1500.0,Kenyan Used,2001,599999.0,Toyota,Premio,23
22,Volvo Xc90,Automatic,2000.0,Foreign Used,2019,6795000.0,Volvo,Xc90,5
23,Bmw X3,Automatic,2000.0,Foreign Used,2017,4349999.0,Bmw,X3,7
24,Toyota Spade,Automatic,1500.0,Kenyan Used,2015,1099999.0,Toyota,Spade,9
25,Lexus Ls300H,Automatic,2500.0,Foreign Used,2017,3978000.0,Lexus,Ls300H,7
26,Toyota Harrier,Automatic,2000.0,Kenyan Used,2016,2899999.0,Toyota,Harrier,8
27,Volvo S60,Automatic,2000.0,Foreign Used,2018,2549999.0,Volvo,S60,6
28,Mazda Demio,Automatic,1300.0,Kenyan Used,2008,589999.0,Mazda,Demio,16
29,Mercedes Benz Benz Benz Glc 220D,Automatic,2100.0,Foreign Used,2018,5800000.0,Mercedes Benz,Benz Benz Glc 220D,6
30,Jaguar F Pace,Automatic,5000.0,Foreign Used,2019,12492500.0,Jaguar,F Pace,5
31,Jeep Grand Cherokee,Automatic,3000.0,Foreign Used,2018,7726130.0,Jeep,Grand Cherokee,6
32,Mercedes Benz Benz Benz G350D,Automatic,3000.0,Foreign Used,2018,14769489.0,Mercedes Benz,Benz Benz G350D,6
33,Mercedes Benz Benz Benz G350D,Automatic,3000.0,Foreign Used,2019,19388175.0,Mercedes Benz,Benz Benz G350D,5
34,Range Rover Vogue Autobiography,Automatic,5000.0,Kenyan Used,2014,8999999.0,Range Rover,Vogue Autobiography,10
35,Toyota Harrier,Automatic,2400.0,Kenyan Used,2008,1299999.0,Toyota,Harrier,16
36,Bmw X4,Automatic,3000.0,Kenyan Used,2015,4499999.0,Bmw,X4,9
37,Range Rover Vogue Se,Automatic,3000.0,Kenyan Used,2014,8499999.0,Range Rover,Vogue Se,10
38,Land Rover Discovery Sport,Automatic,2000.0,Foreign Used,2017,4885000.0,Land Rover,Discovery Sport,7
39,Bmw X5M,Automatic,4400.0,Foreign Used,2021,20764000.0,Bmw,X5M,3
40,Bmw M5,Automatic,4400.0,Foreign Used,2018,13420000.0,Bmw,M5,6
41,Volkswagen Tiguan,Automatic,1400.0,Foreign Used,2017,3950000.0,Volkswagen,Tiguan,7
42,Volkswagen Golf Tsi,Automatic,1200.0,Kenyan Used,2014,1349999.0,Volkswagen,Golf Tsi,10
43,Toyota Harrier,Automatic,2500.0,Kenyan Used,2014,2699999.0,Toyota,Harrier,10
44,Mitsubishi Triton,Automatic,2500.0,Foreign Used,2019,5599999.0,Mitsubishi,Triton,5
45,Volkswagen Golf Gti,Automatic,2000.0,Foreign Used,2017,3499999.0,Volkswagen,Golf Gti,7
46,Toyota Landcruiser Vx,Automatic,4500.0,Foreign Used,2017,14585000.0,Toyota,Landcruiser Vx,7
47,Range Rover Vogue,Automatic,3000.0,Foreign Used,2019,12757061.0,Range Rover,Vogue,5
48,Bmw 523I,Automatic,2000.0,Foreign Used,2018,3450000.0,Bmw,523I,6
49,Bmw 740I,Automatic,3000.0,Foreign Used,2018,6999999.0,Bmw,740I,6
50,Audi A7,Automatic,3000.0,Foreign Used,2019,6200000.0,Audi,A7,5
51,Porsche Panamera,Automatic,3000.0,Foreign Used,2018,10750000.0,Porsche,Panamera,6
52,Subaru Impreza,Automatic,1600.0,Kenyan Used,2012,1099999.0,Subaru,Impreza,12
53,Audi S3,Automatic,2000.0,Foreign Used,2017,4400000.0,Audi,S3,7
54,Mitsubishi Pajero,Automatic,3200.0,Foreign Used,2019,6550000.0,Mitsubishi,Pajero,5
55,Porsche Macan Gts,Automatic,3000.0,Foreign Used,2017,7820000.0,Porsche,Macan Gts,7
56,Volvo Xc60,Automatic,2000.0,Foreign Used,2017,5870000.0,Volvo,Xc60,7
57,Volvo S60,Automatic,2000.0,Foreign Used,2017,4390000.0,Volvo,S60,7
58,Audi Q3,Automatic,2000.0,Kenyan Used,2016,3499999.0,Audi,Q3,8
59,Toyota Fortuner,Automatic,2800.0,Foreign Used,2021,7160000.0,Toyota,Fortuner,3
60,Toyota Landcruiser Prado Tz-G,Automatic,2800.0,Foreign Used,2019,9499999.0,Toyota,Landcruiser Prado Tz-G,5
61,Toyota Axio,Automatic,1500.0,Kenyan Used,2017,1849999.0,Toyota,Axio,7
62,Peugeot 308,Automatic,1200.0,Kenyan Used,2016,1699999.0,Peugeot,308,8
63,Toyota Raum,Automatic,1500.0,Kenyan Used,2007,749999.0,Toyota,Raum,17
64,Peugeot  3008,Automatic,1600.0,Foreign Used,2018,3799999.0,Peugeot, 3008,6
65,Mazda Demio,Automatic,1300.0,Kenyan Used,2009,579999.0,Mazda,Demio,15
66,Nissan Xtrail,Automatic,2000.0,Kenyan Used,2012,1449999.0,Nissan,Xtrail,12
67,Toyota Landcruiser Prado Vx-L,Automatic,4000.0,Kenyan Used,2014,4399999.0,Toyota,Landcruiser Prado Vx-L,10
68,Mazda Xc60,Automatic,2000.0,Kenyan Used,2012,1699999.0,Mazda,Xc60,12
69,Land Rover Discovery V,Automatic,3000.0,Foreign Used,2017,7844372.0,Land Rover,Discovery V,7
70,Toyota Prado Tx,Automatic,2800.0,Foreign Used,2017,5509281.0,Toyota,Prado Tx,7
71,Toyota Prado Txl,Automatic,2800.0,Foreign Used,2018,6032035.0,Toyota,Prado Txl,6
72,Toyota Prado Txl,Automatic,2800.0,Foreign Used,2018,6252035.0,Toyota,Prado Txl,6
73,Mercedes Benz Benz Benz C180,Automatic,1600.0,Foreign Used,2017,4480000.0,Mercedes Benz,Benz Benz C180,7
74,Bmw X5,Automatic,3000.0,Foreign Used,2018,7450000.0,Bmw,X5,6
75,Bmw X6M,Automatic,4400.0,Foreign Used,2018,9538000.0,Bmw,X6M,6
76,Toyota Landcruiser Prado,Automatic,2700.0,Foreign Used,2019,7499999.0,Toyota,Landcruiser Prado,5
77,Land Rover Freelander,Automatic,2200.0,Kenyan Used,2013,1999999.0,Land Rover,Freelander,11
78,Mercedes Benz Benz Benz Gla 180,Automatic,1600.0,Foreign Used,2017,3699999.0,Mercedes Benz,Benz Benz Gla 180,7
79,Toyota Rav4,Automatic,2000.0,Kenyan Used,2021,6199999.0,Toyota,Rav4,3
80,Toyota Estima,Automatic,2400.0,Kenyan Used,2016,1969999.0,Toyota,Estima,8
81,Toyota Harrier,Automatic,2000.0,Kenyan Used,2017,2949999.0,Toyota,Harrier,7
82,Mazda Familia,Automatic,1500.0,Kenyan Used,2000,349999.0,Mazda,Familia,24
83,Nissan Ad Van,Automatic,1500.0,Kenyan Used,2011,509999.0,Nissan,Ad Van,13
84,Mercedes Benz Benz Benz E350,Automatic,3500.0,Kenyan Used,2010,1599999.0,Mercedes Benz,Benz Benz E350,14
85,Range Rover Vogue,Automatic,5000.0,Foreign Used,2018,16993000.0,Range Rover,Vogue,6
86,Volkswagen Golf,Automatic,1200.0,Foreign Used,2017,2080000.0,Volkswagen,Golf,7
87,Toyota Prado Vxl,Automatic,2800.0,Foreign Used,2018,10999000.0,Toyota,Prado Vxl,6
88,Land Rover Discovery V,Automatic,3000.0,Foreign Used,2018,8320000.0,Land Rover,Discovery V,6
89,Land Rover Discovery V,Automatic,3000.0,Foreign Used,2017,7900000.0,Land Rover,Discovery V,7
90,Volvo V60,Automatic,2000.0,Foreign Used,2017,2349999.0,Volvo,V60,7
91,Nissan Bluebird,Automatic,1800.0,Kenyan Used,2011,679999.0,Nissan,Bluebird,13
92,Toyota Fielder,Automatic,1500.0,Kenyan Used,2016,1699999.0,Toyota,Fielder,8
93,Peugeot  3008,Automatic,1600.0,Foreign Used,2017,3849999.0,Peugeot, 3008,7
94,Honda Fit,Automatic,1300.0,Kenyan Used,2013,849999.0,Honda,Fit,11
95,Subaru Levorg,Automatic,1600.0,Kenyan Used,2014,1499999.0,Subaru,Levorg,10
96,Toyota Rav4,Manual,2000.0,Kenyan Used,2002,749999.0,Toyota,Rav4,22
97,Nissan Tiida,Automatic,1500.0,Kenyan Used,2010,749999.0,Nissan,Tiida,14
98,Audi Sq5,Automatic,3000.0,Foreign Used,2018,7299999.0,Audi,Sq5,6
99,Range Rover Evoque,Automatic,2000.0,Foreign Used,2017,4964568.0,Range Rover,Evoque,7
100,Audi Q3,Automatic,2000.0,Foreign Used,2017,3399999.0,Audi,Q3,7
101,Toyota Prado Txl,Automatic,2800.0,Foreign Used,2017,6890000.0,Toyota,Prado Txl,7
102,Toyota Prado Txl,Automatic,2800.0,Foreign Used,2017,6600000.0,Toyota,Prado Txl,7
103,Lexus Lx 570,Automatic,5700.0,Foreign Used,2018,13690000.0,Lexus,Lx 570,6
104,Volkswagen Golf Gti,Automatic,2000.0,Foreign Used,2017,3530000.0,Volkswagen,Golf Gti,7
105,Volkswagen Arteon,Automatic,2000.0,Foreign Used,2018,4470000.0,Volkswagen,Arteon,6
106,Mitsubishi Outlander,Automatic,2000.0,Foreign Used,2017,3738000.0,Mitsubishi,Outlander,7
107,Audi Q8,Automatic,3000.0,Foreign Used,2019,11271397.0,Audi,Q8,5
108,Land Rover Discovery V,Automatic,3000.0,Foreign Used,2017,8110000.0,Land Rover,Discovery V,7
109,Range Rover Evoque,Automatic,2000.0,Foreign Used,2018,6052767.0,Range Rover,Evoque,6
110,Toyota Landcruiser Zx,Automatic,4600.0,Foreign Used,2017,10190000.0,Toyota,Landcruiser Zx,7
111,Mercedes Benz Benz Benz Gle 400D,Automatic,2900.0,Foreign Used,2021,14956186.0,Mercedes Benz,Benz Benz Gle 400D,3
112,Mercedes Benz Benz Benz Gle 400D,Automatic,2900.0,Foreign Used,2020,13521821.0,Mercedes Benz,Benz Benz Gle 400D,4
113,Audi Rs7,Automatic,4000.0,Foreign Used,2017,10384000.0,Audi,Rs7,7
114,Mercedes Benz Benz Benz Gle 400D,Automatic,2900.0,Foreign Used,2020,14178821.0,Mercedes Benz,Benz Benz Gle 400D,4
115,Daihatsu Mira,Automatic,660.0,Kenyan Used,2012,529999.0,Daihatsu,Mira,12
116,Range Rover Evoque,Automatic,2000.0,Foreign Used,2017,5209571.0,Range Rover,Evoque,7
117,Audi Q7,Automatic,3000.0,Foreign Used,2017,6800000.0,Audi,Q7,7
118,Subaru Outback,Automatic,2500.0,Foreign Used,2018,4190000.0,Subaru,Outback,6
119,Mercedes Benz Benz Benz Glc 250,Automatic,2000.0,Foreign Used,2018,6430000.0,Mercedes Benz,Benz Benz Glc 250,6
120,Nissan Xtrail,Automatic,2000.0,Kenyan Used,2012,1399999.0,Nissan,Xtrail,12
121,Nissan Note,Automatic,1200.0,Kenyan Used,2013,699999.0,Nissan,Note,11
122,Toyota Hilux,Manual,3000.0,Kenyan Used,2007,1699999.0,Toyota,Hilux,17
123,Audi Q5,Automatic,2000.0,Foreign Used,2017,3979999.0,Audi,Q5,7
124,Peugeot 3008,Automatic,1600.0,Foreign Used,2017,3385793.0,Peugeot,3008,7
125,Peugeot 308,Automatic,1200.0,Foreign Used,2017,2330000.0,Peugeot,308,7
126,Audi Q5,Automatic,2000.0,Foreign Used,2018,4699000.0,Audi,Q5,6
127,Toyota Prado Tzg,Automatic,2800.0,Foreign Used,2017,8330000.0,Toyota,Prado Tzg,7
128,Range Rover Sport,Automatic,3000.0,Foreign Used,2020,13449000.0,Range Rover,Sport,4
129,Toyota Landcruiser 300 Series,Automatic,3300.0,Foreign Used,2023,22000000.0,Toyota,Landcruiser 300 Series,1
130,Lexus Lx600,Automatic,3500.0,Foreign Used,2023,30499999.0,Lexus,Lx600,1
131,Toyota Alphard,Automatic,2400.0,Kenyan Used,2008,1349999.0,Toyota,Alphard,16
132,Mazda Cx5,Automatic,2000.0,Kenyan Used,2016,2299999.0,Mazda,Cx5,8
133,Toyota Landcruiser Prado,Automatic,3000.0,Kenyan Used,2007,2999999.0,Toyota,Landcruiser Prado,17
134,Volkswagen Golf Tsi,Automatic,1400.0,Kenyan Used,2015,1549999.0,Volkswagen,Golf Tsi,9
135,Jaguar F Pace,Automatic,5000.0,Foreign Used,2021,15900000.0,Jaguar,F Pace,3
136,Volkswagen Golf Tsi,Automatic,1400.0,Foreign Used,2017,2549999.0,Volkswagen,Golf Tsi,7
137,Toyota Probox,Automatic,1500.0,Kenyan Used,2014,849999.0,Toyota,Probox,10
138,Toyota Vellfire,Automatic,2500.0,Foreign Used,2017,3910000.0,Toyota,Vellfire,7
139,Suzuki Swift,Automatic,1500.0,Foreign Used,2017,1449999.0,Suzuki,Swift,7
140,Audi A3,Automatic,1400.0,Kenyan Used,2009,899999.0,Audi,A3,15
141,Toyota Probox,Automatic,1500.0,Kenyan Used,2017,1499999.0,Toyota,Probox,7
142,Nissan Dayz,Automatic,660.0,Foreign Used,2017,799999.0,Nissan,Dayz,7
143,Mazda Bongo,Automatic,2000.0,Kenyan Used,2008,649999.0,Mazda,Bongo,16
144,Subaru Impreza,Automatic,2000.0,Kenyan Used,2016,1999999.0,Subaru,Impreza,8
145,Subaru Xv,Automatic,2000.0,Kenyan Used,2016,1899999.0,Subaru,Xv,8
146,Audi A4,Automatic,2000.0,Foreign Used,2017,4946000.0,Audi,A4,7
147,Range Rover Sport Rvr,Automatic,5000.0,Foreign Used,2017,16500000.0,Range Rover,Sport Rvr,7
148,Volvo,Automatic,2000.0,Foreign Used,2017,4946000.0,Volvo,,7
149,Audi Tt Rs,Automatic,2500.0,Foreign Used,2018,9780000.0,Audi,Tt Rs,6
150,Range Rover Sport,Automatic,3000.0,Foreign Used,2017,7890000.0,Range Rover,Sport,7
151,Mazda Bongo,Automatic,2000.0,Kenyan Used,2008,599999.0,Mazda,Bongo,16
152,Mazda Axela,Automatic,1500.0,Kenyan Used,2014,1399999.0,Mazda,Axela,10
153,Nissan Wingroad,Automatic,1500.0,Kenyan Used,2009,649999.0,Nissan,Wingroad,15
154,Honda Fit Shuttle,Automatic,1500.0,Kenyan Used,2013,1099999.0,Honda,Fit Shuttle,11
155,Toyota Harrier,Automatic,2000.0,Foreign Used,2017,3810000.0,Toyota,Harrier,7
156,Range Rover Sport,Automatic,3000.0,Foreign Used,2018,13099999.0,Range Rover,Sport,6
157,Jeep Grand Cherokee Srt8,Automatic,6400.0,Foreign Used,2017,9371000.0,Jeep,Grand Cherokee Srt8,7
158,Audi Q3,Automatic,1400.0,Foreign Used,2017,2995000.0,Audi,Q3,7
159,Nissan Gtr,Automatic,3800.0,Foreign Used,2018,18800000.0,Nissan,Gtr,6
160,Bmw X7,Automatic,4400.0,Foreign Used,2020,14772000.0,Bmw,X7,4
161,Porsche 718 Boxster,Automatic,2000.0,Foreign Used,2017,9415050.0,Porsche,718 Boxster,7
162,Ferrari California,Automatic,3900.0,Foreign Used,2017,25890000.0,Ferrari,California,7
163,Mercedes Benz Benz Benz Gle 63S,Automatic,5500.0,Foreign Used,2017,12514000.0,Mercedes Benz,Benz Benz Gle 63S,7
164,Porsche Cayenne Gts,Automatic,4000.0,Foreign Used,2020,18190000.0,Porsche,Cayenne Gts,4
165,Audi A8,Automatic,3000.0,Foreign Used,2017,9381000.0,Audi,A8,7
166,Toyota Fj Cruiser,Automatic,4000.0,Foreign Used,2017,4949590.0,Toyota,Fj Cruiser,7
167,Bmw 320D,Automatic,2000.0,Foreign Used,2017,2890000.0,Bmw,320D,7
168,Lexus Rx450H,Automatic,3500.0,Kenyan Used,2009,1999999.0,Lexus,Rx450H,15
169,Toyota Passo,Automatic,1000.0,Foreign Used,2017,1199999.0,Toyota,Passo,7
170,Audi Sq5,Automatic,3000.0,Foreign Used,2020,10990000.0,Audi,Sq5,4
171,Mazda Cx5,Automatic,2500.0,Foreign Used,2019,3999999.0,Mazda,Cx5,5
172,Mazda Cx5,Automatic,2200.0,Kenyan Used,2017,3449999.0,Mazda,Cx5,7
173,Nissan Note,Automatic,1500.0,Kenyan Used,2011,649999.0,Nissan,Note,13
174,Audi A6,Automatic,2000.0,Kenyan Used,2014,2099999.0,Audi,A6,10
175,Volkswagen Golf Variant,Automatic,1400.0,Kenyan Used,2015,1479999.0,Volkswagen,Golf Variant,9
176,Mazda Demio,Automatic,1300.0,Foreign Used,2017,1499999.0,Mazda,Demio,7
177,Mercedes Benz Benz Benz E280,Automatic,3000.0,Kenyan Used,2008,1349999.0,Mercedes Benz,Benz Benz E280,16
178,Mazda Roadster,Automatic,1500.0,Foreign Used,2017,3490000.0,Mazda,Roadster,7
179,Lexus Rx450H,Automatic,3500.0,Foreign Used,2017,5800000.0,Lexus,Rx450H,7
180,Lexus Rx300,Automatic,2000.0,Foreign Used,2018,5374000.0,Lexus,Rx300,6
181,Lexus Lx 570,Automatic,5700.0,Foreign Used,2017,13200000.0,Lexus,Lx 570,7
182,Mazda Atenza,Automatic,2200.0,Foreign Used,2017,2499999.0,Mazda,Atenza,7
183,Audi Q7,Automatic,3000.0,Foreign Used,2018,7300000.0,Audi,Q7,6
184,Audi Q5,Automatic,2000.0,Foreign Used,2018,4690000.0,Audi,Q5,6
185,Mercedes Benz Benz Benz Gls 400D,Automatic,2900.0,Foreign Used,2020,15300000.0,Mercedes Benz,Benz Benz Gls 400D,4
186,Lexus Lx 570,Automatic,5700.0,Foreign Used,2018,13775000.0,Lexus,Lx 570,6
187,Suzuki Swift Rs,Manual,1200.0,Foreign Used,2017,1280000.0,Suzuki,Swift Rs,7
188,Land Rover Discovery V,Automatic,2993.0,Foreign Used,2020,10800000.0,Land Rover,Discovery V,4
189,Mercedes Benz Benz Benz Gle 350D,Automatic,3000.0,Foreign Used,2017,8350000.0,Mercedes Benz,Benz Benz Gle 350D,7
190,Audi Rs6,Automatic,4000.0,Foreign Used,2017,14482000.0,Audi,Rs6,7
191,Porsche Cayenne Gts,Automatic,3600.0,Foreign Used,2017,9989981.0,Porsche,Cayenne Gts,7
192,Subaru Forester Xt,Manual,2000.0,Kenyan Used,2013,1879999.0,Subaru,Forester Xt,11
193,Suzuki Wagon R,Automatic,660.0,Kenyan Used,2015,799999.0,Suzuki,Wagon R,9
194,Audi Q8,Automatic,3000.0,Foreign Used,2019,14523000.0,Audi,Q8,5
195,Toyota Crown Athlete,Automatic,3500.0,Foreign Used,2017,3980000.0,Toyota,Crown Athlete,7
196,Toyota Mark X,Automatic,2500.0,Foreign Used,2017,2483000.0,Toyota,Mark X,7
197,Porsche Cayenne,Automatic,3600.0,Kenyan Used,2017,6799999.0,Porsche,Cayenne,7
198,Toyota Allion,Automatic,1500.0,Kenyan Used,2015,1399999.0,Toyota,Allion,9
199,Toyota Alphard,Automatic,2400.0,Kenyan Used,2017,4699999.0,Toyota,Alphard,7
200,Toyota Hilux,Manual,2500.0,Kenyan Used,2013,2249999.0,Toyota,Hilux,11
201,Nissan Note,Automatic,1500.0,Kenyan Used,2011,659999.0,Nissan,Note,13
202,Lexus Lx600,Automatic,3500.0,Foreign Used,2023,23900000.0,Lexus,Lx600,1
203,Mercedes Benz Benz Benz Gle 350D,Automatic,3000.0,Foreign Used,2018,8090000.0,Mercedes Benz,Benz Benz Gle 350D,6
204,Mazda Cx5,Automatic,2500.0,Foreign Used,2017,3490500.0,Mazda,Cx5,7
205,Mercedes Benz Benz Benz Glc 250,Automatic,2140.0,Foreign Used,2018,6210000.0,Mercedes Benz,Benz Benz Glc 250,6
206,Toyota Rav4,Automatic,2500.0,Foreign Used,2019,4999000.0,Toyota,Rav4,5
207,Mercedes Benz Benz Benz Amg C63,Automatic,4000.0,Foreign Used,2017,9799999.0,Mercedes Benz,Benz Benz Amg C63,7
208,Mercedes Benz Benz Benz G350D,Automatic,3000.0,Foreign Used,2019,14900000.0,Mercedes Benz,Benz Benz G350D,5
209,Nissan Xtrail,Automatic,2000.0,Foreign Used,2017,3100000.0,Nissan,Xtrail,7
210,Subaru Outback,Automatic,2500.0,Foreign Used,2017,3800000.0,Subaru,Outback,7
211,Bmw X7,Automatic,3000.0,Foreign Used,2019,11690000.0,Bmw,X7,5
212,Volkswagen Golf R,Automatic,2000.0,Foreign Used,2017,4250000.0,Volkswagen,Golf R,7
213,Mercedes Benz Benz Benz G63,Automatic,5500.0,Foreign Used,2019,27200000.0,Mercedes Benz,Benz Benz G63,5
214,Volkswagen Golf Gti,Automatic,2000.0,Foreign Used,2017,3250000.0,Volkswagen,Golf Gti,7
215,Toyota Landcruiser,Automatic,3500.0,Foreign Used,2023,18766000.0,Toyota,Landcruiser,1
216,Audi A3,Automatic,2000.0,Foreign Used,2017,2735000.0,Audi,A3,7
217,Toyota Prado,Automatic,2800.0,Foreign Used,2017,6544900.0,Toyota,Prado,7
218,Bmw 530I,Automatic,2000.0,Foreign Used,2017,4350600.0,Bmw,530I,7
219,Mercedes Benz Benz Benz C200,Automatic,2000.0,Foreign Used,2017,3570000.0,Mercedes Benz,Benz Benz C200,7
220,Toyota Prado,Automatic,2800.0,Foreign Used,2018,6666800.0,Toyota,Prado,6
221,Subaru Forester,Automatic,2000.0,Kenyan Used,2006,999999.0,Subaru,Forester,18
222,Honda Fit,Automatic,1500.0,Kenyan Used,2014,1080000.0,Honda,Fit,10
223,Audi A7,Automatic,2000.0,Foreign Used,2017,4420000.0,Audi,A7,7
224,Jaguar Xe Se,Automatic,2000.0,Foreign Used,2017,3470000.0,Jaguar,Xe Se,7
225,Mercedes Benz Benz Benz C200,Automatic,2000.0,Kenyan Used,2008,1499999.0,Mercedes Benz,Benz Benz C200,16
226,Toyota Harrier,Automatic,2500.0,Foreign Used,2017,3985000.0,Toyota,Harrier,7
227,Subaru Outback,Automatic,2500.0,Foreign Used,2018,3450000.0,Subaru,Outback,6
228,Mazda Demio,Automatic,1500.0,Kenyan Used,2005,459999.0,Mazda,Demio,19
229,Honda Vezel,Automatic,1500.0,Kenyan Used,2016,2299999.0,Honda,Vezel,8
230,Nissan Murano,Automatic,3500.0,Kenyan Used,2011,1199999.0,Nissan,Murano,13
231,Subaru Impreza,Automatic,2000.0,Kenyan Used,2014,1249999.0,Subaru,Impreza,10
232,Nissan Xtrail,Automatic,2000.0,Foreign Used,2017,2511000.0,Nissan,Xtrail,7
233,Volvo Xc60,Automatic,2000.0,Foreign Used,2017,5710000.0,Volvo,Xc60,7
234,Peugeot  2008,Automatic,1200.0,Foreign Used,2017,1999999.0,Peugeot, 2008,7
235,Nissan Gtr,Automatic,3800.0,Foreign Used,2018,18268140.0,Nissan,Gtr,6
236,Bmw 740E,Automatic,2000.0,Foreign Used,2017,7254000.0,Bmw,740E,7
237,Subaru Wrx S4,Automatic,2000.0,Foreign Used,2017,3450000.0,Subaru,Wrx S4,7
238,Peugeot 3008,Automatic,1600.0,Foreign Used,2017,3589000.0,Peugeot,3008,7
239,Volkswagen Arteon,Automatic,2000.0,Foreign Used,2017,4469000.0,Volkswagen,Arteon,7
240,Mercedes Benz Benz Benz E220D,Automatic,2000.0,Foreign Used,2017,5310000.0,Mercedes Benz,Benz Benz E220D,7
241,Mercedes Benz Benz Benz E220D,Automatic,2000.0,Foreign Used,2017,4610000.0,Mercedes Benz,Benz Benz E220D,7
242,Audi A6,Automatic,2000.0,Foreign Used,2017,4397454.0,Audi,A6,7
243,Volkswagen Tiguan,Automatic,1400.0,Foreign Used,2017,3540000.0,Volkswagen,Tiguan,7
244,Toyota Landcruiser Vx,Automatic,4200.0,Kenyan Used,2009,4799999.0,Toyota,Landcruiser Vx,15
245,Subaru Outback,Automatic,2500.0,Kenyan Used,2013,1649999.0,Subaru,Outback,11
246,Nissan Xtrail,Automatic,2000.0,Kenyan Used,2003,699999.0,Nissan,Xtrail,21
247,Mercedes Benz Benz Benz C200,Automatic,2000.0,Kenyan Used,2014,3299999.0,Mercedes Benz,Benz Benz C200,10
248,Toyota Auris,Automatic,1200.0,Kenyan Used,2016,1899999.0,Toyota,Auris,8
249,Audi Q5,Automatic,2000.0,Foreign Used,2018,5199999.0,Audi,Q5,6
250,Volkswagen Polo,Automatic,1600.0,Kenyan Used,2019,1499999.0,Volkswagen,Polo,5
251,Mazda Cx3,Automatic,1500.0,Foreign Used,2017,2299999.0,Mazda,Cx3,7
252,Ford Everest,Manual,2500.0,Kenyan Used,2014,1399999.0,Ford,Everest,10
253,Honda Fit,Automatic,1300.0,Kenyan Used,2016,1280000.0,Honda,Fit,8
254,Toyota Vitz,Automatic,1000.0,Kenyan Used,2012,799999.0,Toyota,Vitz,12
255,Nissan Gtr,Automatic,3800.0,Foreign Used,2017,14400000.0,Nissan,Gtr,7
256,Porsche Cayenne,Automatic,3600.0,Kenyan Used,2008,1699999.0,Porsche,Cayenne,16
257,Audi Rsq8,Automatic,4000.0,Foreign Used,2020,23300000.0,Audi,Rsq8,4
258,Audi Tt Rs,Automatic,2500.0,Foreign Used,2022,12680000.0,Audi,Tt Rs,2
259,Audi Tt Rs,Automatic,2500.0,Foreign Used,2018,9918000.0,Audi,Tt Rs,6
260,Bmw X6M,Automatic,4400.0,Foreign Used,2023,24149000.0,Bmw,X6M,1
261,Bmw X5M,Automatic,4400.0,Foreign Used,2020,17453000.0,Bmw,X5M,4
262,Bmw X5M,Automatic,4400.0,Foreign Used,2018,12200000.0,Bmw,X5M,6
263,Bmw X5M,Automatic,4400.0,Foreign Used,2018,12340000.0,Bmw,X5M,6
264,Toyota Mark X,Automatic,2500.0,Kenyan Used,2011,1249999.0,Toyota,Mark X,13
265,Audi A5,Automatic,2000.0,Kenyan Used,2015,2299999.0,Audi,A5,9
266,Nissan Xtrail,Automatic,2000.0,Kenyan Used,2006,679999.0,Nissan,Xtrail,18
267,Toyota Corolla 110,Automatic,1500.0,Kenyan Used,2000,399999.0,Toyota,Corolla 110,24
268,Nissan Note,Automatic,1200.0,Kenyan Used,2015,839999.0,Nissan,Note,9
