,Name,Transimission_Type,Engine_Size,Usage_Origin,Year,Price,Make,Model,Car_Age
762,Bmw M5,Automatic,4400.0,Foreign Used,2019,10100000.0,Bmw,M5,5
763,Mazda Cx5,Automatic,2200.0,Foreign Used,2017,3579999.0,Mazda,Cx5,7
764,Mazda Axela,Automatic,1500.0,Foreign Used,2018,2601000.0,Mazda,Axela,6
765,Bmw M4,Automatic,3000.0,Foreign Used,2017,7100000.0,Bmw,M4,7
766,Volkswagen Passat,Automatic,2017.0,Foreign Used,2017,3750000.0,Volkswagen,Passat,7
767,Volkswagen Tiguan,Automatic,2000.0,Foreign Used,2019,4150000.0,Volkswagen,Tiguan,5
768,Toyota Fielder,Automatic,1500.0,Foreign Used,2017,1970000.0,Toyota,Fielder,7
769,Toyota Fielder,Automatic,1500.0,Foreign Used,2017,1940000.0,Toyota,Fielder,7
770,Volkswagen Golf,Automatic,1400.0,Foreign Used,2017,2399999.0,Volkswagen,Golf,7
771,Mazda Cx5,Automatic,2000.0,Foreign Used,2017,3300000.0,Mazda,Cx5,7
772,Land Rover Discovery Iv,Automatic,3000.0,Kenyan Used,2016,6999999.0,Land Rover,Discovery Iv,8
773,Mercedes Benz Benz Benz E240,Automatic,2600.0,Kenyan Used,2003,1649999.0,Mercedes Benz,Benz Benz E240,21
774,Mercedes Benz Benz Benz Glc 250,Automatic,2000.0,Foreign Used,2016,5799999.0,Mercedes Benz,Benz Benz Glc 250,8
775,Toyota Mark X,Automatic,2500.0,Kenyan Used,2014,1299999.0,Toyota,Mark X,10
776,Mercedes Benz Benz Benz C200,Automatic,1800.0,Kenyan Used,2007,1219999.0,Mercedes Benz,Benz Benz C200,17
777,Honda Crv,Automatic,2000.0,Foreign Used,2019,4300000.0,Honda,Crv,5
778,Bmw 320I,Automatic,2000.0,Foreign Used,2017,2900000.0,Bmw,320I,7
779,Bmw 118I,Automatic,1500.0,Foreign Used,2017,2329000.0,Bmw,118I,7
780,Mercedes Benz Benz Benz Gls350D,Automatic,3000.0,Foreign Used,2018,9715000.0,Mercedes Benz,Benz Benz Gls350D,6
781,Toyota Landcruiser Prado,Automatic,2700.0,Kenyan Used,2016,4849999.0,Toyota,Landcruiser Prado,8
782,Bmw X7,Automatic,3000.0,Foreign Used,2019,13140000.0,Bmw,X7,5
783,Bentley Bentayga,Automatic,6000.0,Foreign Used,2019,20800000.0,Bentley,Bentayga,5
784,Mazda Cx5,Automatic,2000.0,Foreign Used,2018,3399000.0,Mazda,Cx5,6
785,Audi Sq5,Automatic,3000.0,Foreign Used,2018,6670000.0,Audi,Sq5,6
786,Audi A3,Automatic,1400.0,Foreign Used,2017,2486000.0,Audi,A3,7
787,Subaru Legacy,Automatic,2000.0,Kenyan Used,2005,649999.0,Subaru,Legacy,19
788,Mercedes Benz Benz Benz S560,Automatic,4000.0,Foreign Used,2017,10390000.0,Mercedes Benz,Benz Benz S560,7
789,Subaru Impreza,Automatic,2000.0,Foreign Used,2017,2149999.0,Subaru,Impreza,7
790,Honda Stream,Automatic,2000.0,Foreign Used,2013,1179999.0,Honda,Stream,11
791,Mercedes Benz Benz Benz Gle 400D,Automatic,2900.0,Foreign Used,2022,17265550.0,Mercedes Benz,Benz Benz Gle 400D,2
792,Nissan Note,Automatic,1200.0,Foreign Used,2017,1479999.0,Nissan,Note,7
793,Mazda Demio,Automatic,1300.0,Kenyan Used,2016,1180000.0,Mazda,Demio,8
794,Mitsubishi Rvr,Automatic,1800.0,Foreign Used,2018,2861200.0,Mitsubishi,Rvr,6
795,Mazda Axela,Automatic,1500.0,Kenyan Used,2011,519999.0,Mazda,Axela,13
796,Mazda Demio,Automatic,1500.0,Foreign Used,2017,1379999.0,Mazda,Demio,7
797,Mercedes Benz Benz Benz Gle,Automatic,5500.0,Foreign Used,2017,13890000.0,Mercedes Benz,Benz Benz Gle,7
798,Bmw X5,Automatic,3000.0,Foreign Used,2017,6595000.0,Bmw,X5,7
799,Audi A7,Automatic,3000.0,Foreign Used,2017,4820000.0,Audi,A7,7
800,Honda Vezel,Automatic,1500.0,Foreign Used,2017,2649999.0,Honda,Vezel,7
801,Toyota Vellfire,Automatic,2500.0,Foreign Used,2017,3873000.0,Toyota,Vellfire,7
802,Mercedes Benz Benz Benz Cla 180,Automatic,1600.0,Foreign Used,2017,3880000.0,Mercedes Benz,Benz Benz Cla 180,7
803,Toyota Voxy,Automatic,2000.0,Foreign Used,2017,2695000.0,Toyota,Voxy,7
804,Porsche Cayenne,Automatic,3000.0,Foreign Used,2022,15489000.0,Porsche,Cayenne,2
805,Mercedes Benz Benz Benz A180,Automatic,1600.0,Foreign Used,2017,3028000.0,Mercedes Benz,Benz Benz A180,7
806,Bmw M6,Automatic,4400.0,Foreign Used,2017,10500000.0,Bmw,M6,7
807,Audi Q5,Automatic,2000.0,Foreign Used,2019,5842000.0,Audi,Q5,5
808,Bmw X6M,Automatic,4400.0,Foreign Used,2018,11600000.0,Bmw,X6M,6
809,Audi Q7,Automatic,3000.0,Foreign Used,2018,7180000.0,Audi,Q7,6
810,Mercedes Benz Benz Benz B180,Automatic,1600.0,Foreign Used,2017,2186000.0,Mercedes Benz,Benz Benz B180,7
811,Mitsubishi Mirage,Automatic,1200.0,Foreign Used,2017,1261000.0,Mitsubishi,Mirage,7
812,Peugeot 208,Automatic,1200.0,Foreign Used,2017,1381000.0,Peugeot,208,7
813,Jeep Grand Cherokee Trackhawk,Automatic,6200.0,Foreign Used,2019,20210000.0,Jeep,Grand Cherokee Trackhawk,5
814,Suzuki Swift,Automatic,1200.0,Kenyan Used,2013,699999.0,Suzuki,Swift,11
815,Ford Ranger,Automatic,3200.0,Kenyan Used,2014,3199999.0,Ford,Ranger,10
