Name,Transimission_Type,Engine_Size,Usage_Origin,Year,Price
BMW X6m,Automatic,4400 CC,Foreign Used,2018,"KES 9,538,000"
Toyota Landcruiser Prado,Automatic,2700 CC,Foreign Used,2019,"KES 7,499,999"
Nissan Xtrail,Automatic,2000 CC,Kenyan Used,2012,"KES 1,449,999"
Landrover Freelander,Automatic,2200 CC,Kenyan Used,2013,"KES 1,999,999"
Mercedes Benz GLA 180,Automatic,1600 CC,Foreign Used,2017,"KES 3,699,999"
Toyota Rav4,Automatic,2000 CC,Kenyan Used,2021,"KES 6,199,999"
Toyota Estima,Automatic,2400 CC,Kenyan Used,2016,"KES 1,969,999"
Toyota Harrier,Automatic,2000 CC,Kenyan Used,2017,"KES 2,949,999"
Mazda Familia,Automatic,1500 CC,Kenyan Used,2000,"KES 349,999"
Nissan AD Van,Automatic,1500 CC,Kenyan Used,2011,"KES 509,999"
Mercedes Benz E350,Automatic,3500 CC,Kenyan Used,2010,"KES 1,599,999"
Range Rover Vogue,Automatic,5000 CC,Foreign Used,2018,"KES 16,993,000"
Volkswagen Golf,Automatic,1200 CC,Foreign Used,2017,"KES 2,080,000"
Toyota Prado VXL,Automatic,2800 CC,Foreign Used,2018,"KES 10,999,000"
Landrover discovery V,Automatic,3000 CC,Foreign Used,2018,"KES 8,320,000"
Landrover Discovery V,Automatic,3000 CC,Foreign Used,2017,"KES 7,900,000"
Volvo V60,Automatic,2000 CC,Foreign Used,2017,"KES 2,349,999"
Nissan Bluebird,Automatic,1800 CC,Kenyan Used,2011,"KES 679,999"
Toyota Fielder,Automatic,1500 CC,Kenyan Used,2016,"KES 1,699,999"
Peugeot  3008,Automatic,1600 CC,Foreign Used,2017,"KES 3,849,999"
Honda Fit,Automatic,1300 CC,Kenyan Used,2013,"KES 849,999"
Subaru Levorg,Automatic,1600 CC,Kenyan Used,2014,"KES 1,499,999"
Toyota Rav4,Manual,2000 CC,Kenyan Used,2002,"KES 749,999"
Nissan Tiida,Automatic,1500 CC,Kenyan Used,2010,"KES 749,999"
Audi SQ5,Automatic,3000 CC,Foreign Used,2018,"KES 7,299,999"
Range Rover Evoque,Automatic,2000 CC,Foreign Used,2017,"KES 4,964,568"
Audi Q3,Automatic,2000 CC,Foreign Used,2017,"KES 3,399,999"
Toyota Prado TXL,Automatic,2800 CC,Foreign Used,2017,"KES 6,890,000"
Toyota Prado TXL,Automatic,2800 CC,Foreign Used,2017,"KES 6,600,000"
Lexus LX 570,Automatic,5700 CC,Foreign Used,2018,"KES 13,690,000"
Volkswagen Golf GTI,Automatic,2000 CC,Foreign Used,2017,"KES 3,530,000"
Volkswagen Arteon,Automatic,2000 CC,Foreign Used,2018,"KES 4,470,000"
Mitsubishi Outlander,Automatic,2000 CC,Foreign Used,2017,"KES 3,738,000"
Audi Q8,Automatic,3000 CC,Foreign Used,2019,"KES 11,271,397"
Landrover Discovery V,Automatic,3000 CC,Foreign Used,2017,"KES 8,110,000"
Range Rover Evoque,Automatic,2000 CC,Foreign Used,2018,"KES 6,052,767"
Toyota Landcruiser ZX,Automatic,4600 CC,Foreign Used,2017,"KES 10,190,000"
Mercedes Benz GLE 400d,Automatic,2900 CC,Foreign Used,2021,"KES 14,956,186"
Mercedes Benz GLE 400d,Automatic,2900 CC,Foreign Used,2020,"KES 13,521,821"
Audi RS7,Automatic,4000 CC,Foreign Used,2017,"KES 10,384,000"
Mercedes Benz GLE 400d,Automatic,2900 CC,Foreign Used,2020,"KES 14,178,821"
Daihatsu Mira,Automatic,660 CC,Kenyan Used,2012,"KES 529,999"
Range Rover Evoque,Automatic,2000 CC,Foreign Used,2017,"KES 5,209,571"
Audi Q7,Automatic,3000 CC,Foreign Used,2017,"KES 6,800,000"
Subaru Outback,Automatic,2500 CC,Foreign Used,2018,"KES 4,190,000"
Mercedes Benz GLC 250,Automatic,2000 CC,Foreign Used,2018,"KES 6,430,000"
Nissan Xtrail,Automatic,2000 CC,Kenyan Used,2012,"KES 1,399,999"
Nissan Note,Automatic,1200 CC,Kenyan Used,2013,"KES 699,999"
Toyota Hilux,Manual,3000 CC,Kenyan Used,2007,"KES 1,699,999"
Audi Q5,Automatic,2000 CC,Foreign Used,2017,"KES 3,979,999"
Peugeot 3008,Automatic,1600 CC,Foreign Used,2017,"KES 3,385,793"
Peugeot 308,Automatic,1200 CC,Foreign Used,2017,"KES 2,330,000"
Audi Q5,Automatic,2000 CC,Foreign Used,2018,"KES 4,699,000"
Toyota Prado TZG,Automatic,2800 CC,Foreign Used,2017,"KES 8,330,000"
Range Rover Sport,Automatic,3000 CC,Foreign Used,2020,"KES 13,449,000"
Toyota Landcruiser 300 series,Automatic,3300 CC,Foreign Used,2023,"KES 22,000,000"
Lexus LX600,Automatic,3500 CC,Foreign Used,2023,"KES 30,499,999"
Toyota Alphard,Automatic,2400 CC,Kenyan Used,2008,"KES 1,349,999"
Mazda CX5,Automatic,2000 CC,Kenyan Used,2016,"KES 2,299,999"
Toyota Landcruiser Prado,Automatic,3000 CC,Kenyan Used,2007,"KES 2,999,999"
Volkswagen Golf TSI,Automatic,1400 CC,Kenyan Used,2015,"KES 1,549,999"
Jaguar F pace,Automatic,5000 CC,Foreign Used,2021,"KES 15,900,000"
Volkswagen Golf TSI,Automatic,1400 CC,Foreign Used,2017,"KES 2,549,999"
Toyota Probox,Automatic,1500 CC,Kenyan Used,2014,"KES 849,999"
Toyota Vellfire,Automatic,2500 CC,Foreign Used,2017,"KES 3,910,000"
Suzuki Swift,Automatic,1500 CC,Foreign Used,2017,"KES 1,449,999"
Audi A3,Automatic,1400 CC,Kenyan Used,2009,"KES 899,999"
Toyota Probox,Automatic,1500 CC,Kenyan Used,2017,"KES 1,499,999"
Nissan Dayz,Automatic,660 CC,Foreign Used,2017,"KES 799,999"
Mazda Bongo,Automatic,2000 CC,Kenyan Used,2008,"KES 649,999"
Subaru Impreza,Automatic,2000 CC,Kenyan Used,2016,"KES 1,999,999"
Subaru XV,Automatic,2000 CC,Kenyan Used,2016,"KES 1,899,999"
Audi A4,Automatic,2000 CC,Foreign Used,2017,"KES 4,946,000"
Range Rover Sport RVR,Automatic,5000 CC,Foreign Used,2017,"KES 16,500,000"
Volvo,Automatic,2000 CC,Foreign Used,2017,"KES 4,946,000"
Audi TT RS,Automatic,2500 CC,Foreign Used,2018,"KES 9,780,000"
Range Rover Sport,Automatic,3000 CC,Foreign Used,2017,"KES 7,890,000"
Mazda Bongo,Automatic,2000 CC,Kenyan Used,2008,"KES 599,999"
Mazda Axela,Automatic,1500 CC,Kenyan Used,2014,"KES 1,399,999"
Nissan Wingroad,Automatic,1500 CC,Kenyan Used,2009,"KES 649,999"
Honda Fit Shuttle,Automatic,1500 CC,Kenyan Used,2013,"KES 1,099,999"
Toyota Harrier,Automatic,2000 CC,Foreign Used,2017,"KES 3,810,000"
Range Rover Sport,Automatic,3000 CC,Foreign Used,2018,"KES 13,099,999"
Jeep Grand Cherokee SRT8,Automatic,6400 CC,Foreign Used,2017,"KES 9,371,000"
Audi Q3,Automatic,1400 CC,Foreign Used,2017,"KES 2,995,000"
Nissan GTR,Automatic,3800 CC,Foreign Used,2018,"KES 18,800,000"
BMW X7,Automatic,4400 CC,Foreign Used,2020,"KES 14,772,000"
Porsche 718 Boxster,Automatic,2000 CC,Foreign Used,2017,"KES 9,415,050"
Ferrari California,Automatic,3900 CC,Foreign Used,2017,"KES 25,890,000"
Mercedes Benz GLE 63s,Automatic,5500 CC,Foreign Used,2017,"KES 12,514,000"
Porsche Cayenne GTS,Automatic,4000 CC,Foreign Used,2020,"KES 18,190,000"
Audi A8,Automatic,3000 CC,Foreign Used,2017,"KES 9,381,000"
Toyota FJ Cruiser,Automatic,4000 CC,Foreign Used,2017,"KES 4,949,590"
BMW 320d,Automatic,2000 CC,Foreign Used,2017,"KES 2,890,000"
Lexus RX450h,Automatic,3500 CC,Kenyan Used,2009,"KES 1,999,999"
Toyota Passo,Automatic,1000 CC,Foreign Used,2017,"KES 1,199,999"
Audi SQ5,Automatic,3000 CC,Foreign Used,2020,"KES 10,990,000"
Mazda CX5,Automatic,2500 CC,Foreign Used,2019,"KES 3,999,999"
Mazda CX5,Automatic,2200 CC,Kenyan Used,2017,"KES 3,449,999"
Nissan Note,Automatic,1500 CC,Kenyan Used,2011,"KES 649,999"
Audi A6,Automatic,2000 CC,Kenyan Used,2014,"KES 2,099,999"
Volkswagen Golf Variant,Automatic,1400 CC,Kenyan Used,2015,"KES 1,479,999"
Mazda Demio,Automatic,1300 CC,Foreign Used,2017,"KES 1,499,999"
